Source	Location	Latitude	Longitude	Date	TempMaxC	TempMinC	PrecipitationMm	WindSpeedMaxKmh	UVIndexMax	FetchedAtUtc
OpenMeteo	New York	40.7103	-73.9931	2026-03-29	13.4	-0.7	0	20.9	6	2026-03-29T14:19:37Z
OpenMeteo	New York	40.7103	-73.9931	2026-03-30	17.8	6.4	0	29	4.55	2026-03-29T14:19:37Z
OpenMeteo	New York	40.7103	-73.9931	2026-03-31	19.9	12.3	8.1	25	5.55	2026-03-29T14:19:37Z
OpenMeteo	New York	40.7103	-73.9931	2026-04-01	24.6	15.9	7.8	27.5	6.3	2026-03-29T14:19:37Z
OpenMeteo	New York	40.7103	-73.9931	2026-04-02	20.4	11.4	5.9	20.3	5.55	2026-03-29T14:19:37Z
OpenMeteo	New York	40.7103	-73.9931	2026-04-03	19.5	10.3	0.6	18.1	4	2026-03-29T14:19:37Z
OpenMeteo	New York	40.7103	-73.9931	2026-04-04	15.7	6.5	0	21.9	2.85	2026-03-29T14:19:37Z
OpenMeteo	London	51.5115	-0.1308	2026-03-29	10.6	3.4	0.9	23	1.4	2026-03-29T14:19:37Z
OpenMeteo	London	51.5115	-0.1308	2026-03-30	12.5	6.3	0	20.2	2.05	2026-03-29T14:19:37Z
OpenMeteo	London	51.5115	-0.1308	2026-03-31	14.9	8.1	0	13.3	2.25	2026-03-29T14:19:37Z
OpenMeteo	London	51.5115	-0.1308	2026-04-01	13.2	9.5	0	11.2	4.9	2026-03-29T14:19:37Z
OpenMeteo	London	51.5115	-0.1308	2026-04-02	10.9	6.3	0	15.1	1.65	2026-03-29T14:19:37Z
OpenMeteo	London	51.5115	-0.1308	2026-04-03	9.6	6.5	0.6	14.8	4.45	2026-03-29T14:19:37Z
OpenMeteo	London	51.5115	-0.1308	2026-04-04	12.4	8	5.8	31.3	4.35	2026-03-29T14:19:37Z
OpenMeteo	Tokyo	35.7000	139.6250	2026-03-29	19.6	9	0	7.6	6.65	2026-03-29T14:19:37Z
OpenMeteo	Tokyo	35.7000	139.6250	2026-03-30	19.2	10.3	0.3	10.4	6.3	2026-03-29T14:19:37Z
OpenMeteo	Tokyo	35.7000	139.6250	2026-03-31	18.2	15.1	0.6	17.9	1.6	2026-03-29T14:19:37Z
OpenMeteo	Tokyo	35.7000	139.6250	2026-04-01	18.8	11	14.42	15.4	1.35	2026-03-29T14:19:37Z
OpenMeteo	Tokyo	35.7000	139.6250	2026-04-02	15.5	10.3	3.2	11.3	5.7	2026-03-29T14:19:37Z
OpenMeteo	Tokyo	35.7000	139.6250	2026-04-03	18.3	7.8	0	22.7	6.95	2026-03-29T14:19:37Z
OpenMeteo	Tokyo	35.7000	139.6250	2026-04-04	16.8	13.3	8.4	26.8	1.3	2026-03-29T14:19:37Z
